sales_order,order_type,organization,customer_id,net_amount,creation_date,currency,created_by,delivery_status
1,OR,1710,17100001,52.65,2016-08-17T00:00:00.000Z,USD,CB9980000027,C
2,OR,1710,17100001,353.5,2016-09-02T00:00:00.000Z,USD,CB9980000027,C
3,OR,1710,17100001,52.65,2016-09-06T00:00:00.000Z,USD,CB9980000065,C
4,OR,1710,17100001,35.1,2016-09-06T00:00:00.000Z,USD,CB9980000065,C
6,OR,1710,17100001,122.85,2016-09-06T00:00:00.000Z,USD,CB9980000065,C
7,OR,1710,17100001,50.7,2016-09-06T00:00:00.000Z,USD,CB9980000065,
8,OR,1710,17100001,33.8,2016-09-06T00:00:00.000Z,USD,CB9980000065,
10,OR,1710,USCU-CUS02,48.5,2016-09-06T00:00:00.000Z,USD,S4TESTER,C
13,OR,1710,17100003,1755,2016-09-07T00:00:00.000Z,USD,CB9980000065,C
14,OR,1710,USCU-CUS01,70200,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
15,OR,1710,USCU-CUS01,70200,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
16,OR,1710,USCU-CUS02,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
17,OR,1710,USCU-CUS03,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
18,OR,1710,USCU-CUS04,52650,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
19,OR,1710,USCU-CUS05,70200,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
20,OR,1710,USCU-CUS06,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
21,OR,1710,USCU-CU04,242.5,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
22,OR,1710,USCU-CUS01,70200,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
23,OR,1710,USCU-CUS02,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
24,OR,1710,USCU-CUS03,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
25,OR,1710,USCU-CUS04,52650,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
26,OR,1710,USCU-CUS05,70200,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
27,OR,1710,USCU-CUS06,48500,2016-09-07T00:00:00.000Z,USD,S4TESTER,C
28,OR,1710,USCU-CUS01,70200,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
29,OR,1710,USCU-CUS02,48500,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
30,OR,1710,USCU-CUS03,48500,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
31,OR,1710,USCU-CUS04,52650,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
32,OR,1710,USCU-CUS05,70200,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
33,OR,1710,USCU-CUS06,48500,2016-09-08T00:00:00.000Z,USD,S4TESTER,C
34,OR,1710,17100001,35.1,2016-09-08T00:00:00.000Z,USD,CB9980000065,C
37,OR,1710,17100001,35.1,2016-09-12T00:00:00.000Z,USD,CB9980000065,C
38,OR,1710,17100001,0,2016-09-12T00:00:00.000Z,USD,CB9980000065,
39,OR,1710,17100001,0,2016-09-12T00:00:00.000Z,USD,CB9980000065,
40,OR,1710,17100001,35.1,2016-09-12T00:00:00.000Z,USD,CB9980000065,C
41,OR,1710,17100001,35.1,2016-09-12T00:00:00.000Z,USD,CB9980000065,C
46,OR,1710,USCU-CUS07,20000,2016-09-14T00:00:00.000Z,USD,CB9980000027,C
48,CBMO,1710,17100001,353.5,2016-09-14T00:00:00.000Z,USD,CB9980000072,C
53,OR,1710,USCU-CUS24,90,2016-09-16T00:00:00.000Z,USD,CB9980000065,
54,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
56,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
57,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,S4TESTER,
79,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
80,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
81,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
82,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
83,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
84,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
85,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
86,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
87,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
88,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
89,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
90,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
91,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
92,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
93,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
94,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
95,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
96,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
97,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
98,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
99,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
100,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
101,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
102,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
103,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
104,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
105,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
106,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
107,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
108,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
109,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
110,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
111,OR,1710,USCU-CUS21,80,2016-09-16T00:00:00.000Z,USD,CB9980000065,
112,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
113,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
114,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
115,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
116,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
117,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
118,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
119,OR,1710,USCU-CUS24,80,2016-09-16T00:00:00.000Z,USD,CB9980000026,
121,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
122,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
123,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
124,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
125,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
126,OR,1710,USCU-CUS24,17.55,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
134,OR,1710,USCU-CUS22,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
136,OR,1710,USCU-CUS22,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
